AT4T21P2 - Pris - 5_5_411_50, movement around 80k ms
time=28183, red=46937, ir=54323
time=28203, red=46925, ir=54310
time=28223, red=46918, ir=54332
time=28243, red=46925, ir=54339
time=28263, red=46914, ir=54334
time=28283, red=46924, ir=54346
time=28303, red=46938, ir=54351
time=28323, red=46934, ir=54362
time=28343, red=46931, ir=54358
time=28363, red=46932, ir=54357
time=28383, red=46934, ir=54371
time=28403, red=46934, ir=54384
time=28423, red=46932, ir=54390
time=28443, red=46922, ir=54394
time=28463, red=46923, ir=54392
time=28483, red=46920, ir=54406
time=28503, red=46926, ir=54409
time=28523, red=46932, ir=54429
time=28543, red=46927, ir=54419
time=28563, red=46926, ir=54426
time=28583, red=46934, ir=54431
time=28603, red=46934, ir=54432
time=28623, red=46929, ir=54432
time=28643, red=46931, ir=54445
time=28663, red=46930, ir=54425
time=28683, red=46922, ir=54404
time=28703, red=46921, ir=54394
time=28723, red=46888, ir=54392
time=28743, red=46901, ir=54373
time=28763, red=46888, ir=54334
time=28783, red=46887, ir=54314
time=28803, red=46884, ir=54308
time=28823, red=46871, ir=54285
time=28843, red=46861, ir=54279
time=28863, red=46888, ir=54267
time=28883, red=46858, ir=54250
time=28903, red=46859, ir=54256
time=28923, red=46870, ir=54254
time=28943, red=46878, ir=54240
time=28963, red=46887, ir=54246
time=28983, red=46903, ir=54251
time=29003, red=46889, ir=54255
time=29023, red=46907, ir=54256
time=29043, red=46904, ir=54258
time=29063, red=46901, ir=54272
time=29083, red=46910, ir=54296
time=29103, red=46923, ir=54299
time=29123, red=46924, ir=54302
time=29143, red=46914, ir=54306
time=29163, red=46921, ir=54300
time=29183, red=46923, ir=54318
time=29202, red=46925, ir=54321
time=29222, red=46930, ir=54320
time=29242, red=46933, ir=54343
time=29262, red=46912, ir=54330
time=29282, red=46932, ir=54341
time=29302, red=46935, ir=54350
time=29322, red=46922, ir=54352
time=29342, red=46933, ir=54362
time=29362, red=46934, ir=54367
time=29382, red=46933, ir=54371
time=29402, red=46928, ir=54373
