AT4T28P1 - Pris - 5_5_411_50, tongue movement approx 45k-55k ms
time=24140, red=52297, ir=58212
time=24160, red=52289, ir=58208
time=24180, red=52282, ir=58198
time=24200, red=52274, ir=58174
time=24220, red=52268, ir=58172
time=24240, red=52281, ir=58168
time=24260, red=52278, ir=58194
time=24280, red=52285, ir=58203
time=24301, red=52281, ir=58192
time=24321, red=52264, ir=58218
time=24341, red=52268, ir=58210
time=24361, red=52271, ir=58212
time=24381, red=52262, ir=58208
time=24401, red=52250, ir=58180
time=24421, red=52247, ir=58167
time=24441, red=52226, ir=58146
time=24461, red=52215, ir=58117
time=24481, red=52235, ir=58137
time=24501, red=52252, ir=58182
time=24521, red=52258, ir=58207
time=24541, red=52256, ir=58203
time=24561, red=52251, ir=58180
time=24581, red=52251, ir=58173
time=24601, red=52226, ir=58162
time=24621, red=52220, ir=58160
time=24641, red=52234, ir=58196
time=24661, red=52232, ir=58184
time=24681, red=52219, ir=58174
time=24701, red=52231, ir=58189
time=24721, red=52228, ir=58184
time=24741, red=52220, ir=58177
time=24761, red=52218, ir=58162
time=24781, red=52201, ir=58136
time=24801, red=52202, ir=58133
time=24821, red=52187, ir=58112
time=24841, red=52192, ir=58097
time=24861, red=52179, ir=58105
time=24881, red=52196, ir=58079
time=24901, red=52194, ir=58067
time=24921, red=52197, ir=58055
time=24941, red=52192, ir=58050
time=24961, red=52198, ir=58034
time=24981, red=52200, ir=58013
time=25001, red=52214, ir=58010
time=25021, red=52205, ir=58011
time=25041, red=52217, ir=58021
time=25061, red=52220, ir=58004
time=25081, red=52229, ir=58035
time=25101, red=52239, ir=58029
time=25121, red=52250, ir=58043
time=25141, red=52264, ir=58051
time=25161, red=52261, ir=58038
time=25181, red=52252, ir=58005
time=25201, red=52265, ir=58012
time=25221, red=52267, ir=58028
time=25241, red=52277, ir=58011
time=25261, red=52268, ir=58038
time=25281, red=52266, ir=58040
time=25302, red=52262, ir=58038
time=25322, red=52291, ir=58049
time=25342, red=52282, ir=58050
time=25362, red=52286, ir=58051
time=25382, red=52294, ir=58068
time=25402, red=52289, ir=58077
time=25422, red=52310, ir=58095
time=25442, red=52316, ir=58109
time=25462, red=52333, ir=58122
time=25482, red=52318, ir=58108
time=25502, red=52305, ir=58096
time=25522, red=52318, ir=58106
time=25542, red=52312, ir=58103
time=25562, red=52321, ir=58110
time=25582, red=52311, ir=58138
time=25602, red=52323, ir=58129
time=25622, red=52330, ir=58145
time=25642, red=52333, ir=58170
time=25662, red=52354, ir=58161
time=25682, red=52331, ir=58186
time=25702, red=52366, ir=58213
time=25722, red=52349, ir=58207
time=25742, red=52353, ir=58238
time=25762, red=52352, ir=58209
time=25782, red=52351, ir=58210
time=25802, red=52335, ir=58200
time=25822, red=52324, ir=58173
time=25842, red=52327, ir=58177
time=25862, red=52332, ir=58194
time=25882, red=52322, ir=58191
time=25902, red=52318, ir=58186
time=25922, red=52325, ir=58189
time=25942, red=52301, ir=58189
time=25962, red=52307, ir=58194
time=25982, red=52310, ir=58212
time=26002, red=52305, ir=58207
HR=92, SP=-1
time=26022, red=52319, ir=58226
time=26042, red=52309, ir=58220
time=26062, red=52306, ir=58228
time=26082, red=52305, ir=58222
time=26102, red=52302, ir=58245
time=26122, red=52310, ir=58246
time=26142, red=52310, ir=58274
time=26162, red=52305, ir=58256
time=26182, red=52324, ir=58288
time=26202, red=52320, ir=58295
time=26222, red=52320, ir=58304
time=26242, red=52313, ir=58326
time=26263, red=52322, ir=58331
time=26283, red=52325, ir=58330
time=26303, red=52318, ir=58354
time=26323, red=52338, ir=58367
time=26343, red=52310, ir=58358
time=26363, red=52310, ir=58366
time=26383, red=52308, ir=58366
time=26403, red=52303, ir=58356
time=26423, red=52304, ir=58343
time=26443, red=52288, ir=58329
time=26463, red=52278, ir=58309
time=26483, red=52260, ir=58280
time=26503, red=52265, ir=58276
time=26523, red=52269, ir=58272
time=26543, red=52262, ir=58255
time=26563, red=52262, ir=58238
time=26583, red=52272, ir=58239
time=26603, red=52267, ir=58230
time=26623, red=52276, ir=58237
time=26643, red=52294, ir=58225
time=26663, red=52301, ir=58239
time=26683, red=52300, ir=58232
time=26703, red=52318, ir=58247
time=26723, red=52311, ir=58244
time=26743, red=52316, ir=58265
time=26763, red=52320, ir=58271
time=26783, red=52352, ir=58284
time=26803, red=52356, ir=58292
time=26823, red=52345, ir=58299
time=26843, red=52350, ir=58308
time=26863, red=52358, ir=58318
time=26883, red=52372, ir=58323
time=26903, red=52359, ir=58325
time=26923, red=52377, ir=58331
time=26943, red=52376, ir=58333
time=26963, red=52389, ir=58358
time=26983, red=52381, ir=58347
time=27003, red=52398, ir=58344
time=27023, red=52395, ir=58345
